pub_year,name,total
1991,bolsonaro,0
1991,collor,1
1991,dilma,0
1991,fhc,1
1991,itamar,0
1991,lula,0
1991,temer,0
1995,bolsonaro,0
1995,collor,0
1995,dilma,0
1995,fhc,4
1995,itamar,0
1995,lula,0
1995,temer,0
1996,bolsonaro,0
1996,collor,0
1996,dilma,0
1996,fhc,1
1996,itamar,0
1996,lula,1
1996,temer,0
1997,bolsonaro,0
1997,collor,1
1997,dilma,0
1997,fhc,0
1997,itamar,0
1997,lula,0
1997,temer,0
1998,bolsonaro,0
1998,collor,1
1998,dilma,0
1998,fhc,2
1998,itamar,0
1998,lula,0
1998,temer,0
1999,bolsonaro,0
1999,collor,0
1999,dilma,0
1999,fhc,4
1999,itamar,0
1999,lula,0
1999,temer,0
2000,bolsonaro,0
2000,collor,0
2000,dilma,0
2000,fhc,1
2000,itamar,0
2000,lula,0
2000,temer,0
2002,bolsonaro,0
2002,collor,0
2002,dilma,0
2002,fhc,10
2002,itamar,0
2002,lula,2
2002,temer,0
2003,bolsonaro,0
2003,collor,0
2003,dilma,0
2003,fhc,11
2003,itamar,0
2003,lula,7
2003,temer,0
2004,bolsonaro,0
2004,collor,1
2004,dilma,0
2004,fhc,7
2004,itamar,2
2004,lula,6
2004,temer,0
2005,bolsonaro,0
2005,collor,0
2005,dilma,0
2005,fhc,7
2005,itamar,0
2005,lula,10
2005,temer,0
2006,bolsonaro,0
2006,collor,1
2006,dilma,0
2006,fhc,6
2006,itamar,0
2006,lula,11
2006,temer,0
2007,bolsonaro,0
2007,collor,1
2007,dilma,0
2007,fhc,5
2007,itamar,0
2007,lula,9
2007,temer,0
2008,bolsonaro,0
2008,collor,0
2008,dilma,0
2008,fhc,10
2008,itamar,0
2008,lula,11
2008,temer,0
2009,bolsonaro,0
2009,collor,1
2009,dilma,0
2009,fhc,7
2009,itamar,1
2009,lula,12
2009,temer,0
2010,bolsonaro,0
2010,collor,3
2010,dilma,1
2010,fhc,6
2010,itamar,2
2010,lula,20
2010,temer,1
2011,bolsonaro,0
2011,collor,2
2011,dilma,5
2011,fhc,8
2011,itamar,1
2011,lula,13
2011,temer,0
2012,bolsonaro,0
2012,collor,1
2012,dilma,14
2012,fhc,5
2012,itamar,1
2012,lula,12
2012,temer,0
2013,bolsonaro,0
2013,collor,0
2013,dilma,8
2013,fhc,5
2013,itamar,0
2013,lula,16
2013,temer,0
2014,bolsonaro,0
2014,collor,0
2014,dilma,10
2014,fhc,8
2014,itamar,0
2014,lula,21
2014,temer,0
2015,bolsonaro,1
2015,collor,1
2015,dilma,18
2015,fhc,7
2015,itamar,1
2015,lula,20
2015,temer,0
2016,bolsonaro,0
2016,collor,1
2016,dilma,28
2016,fhc,9
2016,itamar,0
2016,lula,19
2016,temer,1
2017,bolsonaro,1
2017,collor,5
2017,dilma,79
2017,fhc,16
2017,itamar,2
2017,lula,47
2017,temer,10
2018,bolsonaro,3
2018,collor,2
2018,dilma,70
2018,fhc,8
2018,itamar,1
2018,lula,39
2018,temer,16
2019,bolsonaro,47
2019,collor,5
2019,dilma,82
2019,fhc,14
2019,itamar,3
2019,lula,37
2019,temer,32
2020,bolsonaro,167
2020,collor,2
2020,dilma,60
2020,fhc,13
2020,itamar,3
2020,lula,46
2020,temer,25
2021,bolsonaro,159
2021,collor,5
2021,dilma,45
2021,fhc,12
2021,itamar,2
2021,lula,24
2021,temer,18
